SCONJ,PRON,AUX,PUNCT,PRON,AUX,VERB,PART,VERB,PRON,PUNCT,SCONJ,PRON,AUX,PART,VERB,PRON,AUX,VERB,ADP,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,PRON,DET,ADJ,NOUN,PART,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,ADP,PRON,NOUN,PUNCT,ADV,PUNCT,NOUN,AUX,ADJ,ADP,NOUN,PUNCT,CCONJ,PRON,ADV,VERB,ADP,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,PRON,PUNCT,PRON,AUX,PART,VERB,NOUN,ADP,NOUN,PUNCT,PRON,ADV,AUX,PART,VERB,NOUN,ADP,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTJ,PUNCT,ADV,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,ADV,ADP,VERB,ADP,PRON,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET,ADJ,NOUN,CCONJ,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,CCONJ,NOUN,VERB,PUNCT,SCONJ,DET,NOUN,AUX,ADV,ADP,PRON,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPN,PROPN,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,PRON,NOUN,ADP,PUNCT,DET,PROPN,PUNCT,NOUN,ADP,ADJ,PROPN,PUNCT,CCONJ,PRON,VERB,ADP,DET,NOUN,ADP,ADJ,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADJ,ADP,DET,NOUN,AUX,ADJ,CCONJ,ADV,PUNCT,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,PUNCT,CCONJ,PRON,VERB,PRON,AUX,AUX,ADV,ADJ,ADJ,NOUN,PUNCT,SCONJ,PRON,AUX,VERB,PART,VERB,PRON,ADJ,NOUN,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,DET,NOUN,ADP,VERB,DET,PROPN,PROPN,PROPN,AUX,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,NOUN,VERB,PRON,NOUN,PUNCT,VERB,PRON,PUNCT,CCONJ,ADV,PRON,VERB,DET,ADJ,NOUN,ADP,PRON,PUNCT,VERB,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,NOUN,ADP,PRON,PUNCT,NUM,NOUN,NOUN,ADP,DET,NOUN,AUX,ADV,SYM,NUM,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADJ,PUNCT,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,NOUN,ADV,VERB,NOUN,NOUN,PUNCT,CCONJ,ADV,PRON,AUX,VERB,DET,DET,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
